Transaction ID,Date,Customer ID,Revenue ($),Cost ($),Region,Data Source,Revenue Category,Customer Type
1,2023-12-23,3489,167.97,92.81,New York,Excel,Placement Fee,Homeowner
2,2023-08-01,3888,145.78,72.82,Miami,Excel,Other,Resident
3,2024-07-27,4003,86.23,65.34,Seattle,Excel,Management Fee,Homeowner
4,2023-02-18,1698,302.81,125.8,Dallas,Google Sheets,Management Fee,Other
5,2023-05-07,1875,56.12,24.05,Bay Area,Excel,In-Home Service,Other
6,2023-08-11,2685,235.35,113.16,Los Angeles,BigQuery,Placement Fee,Other
7,2023-10-06,3823,83.02,60.58,Dallas,RDS,In-Home Service,Resident
8,2024-02-12,3809,232.35,178.77,Miami,BigQuery,Other,Other
9,2024-05-19,1944,67.97,27.87,Dallas,RDS,Other,Other
10,2023-10-21,4881,425.85,311.69,Dallas,Excel,Placement Fee,Homeowner
11,2023-10-04,1922,144.38,61.95,Bay Area,RDS,Other,Other
12,2024-03-13,3982,197.74,155.29,Los Angeles,Google Sheets,Other,Homeowner
13,2023-04-17,2746,441.52,264.34,New York,Google Sheets,Management Fee,Other
14,2024-10-19,1024,385.82,117.11,Los Angeles,BigQuery,Management Fee,Other
15,2024-02-24,3853,148.57,47.11,Miami,Google Sheets,Management Fee,Homeowner
16,2024-09-02,4924,,30.78,New York,Excel,Placement Fee,Homeowner
17,2024-03-04,2687,372.05,,New York,BigQuery,Placement Fee,Other
18,2024-01-10,2559,225.82,154.42,Los Angeles,BigQuery,Management Fee,Resident
19,2023-03-14,3811,394.74,162.39,Bay Area,BigQuery,Other,Resident
20,2024-09-25,2083,250.38,196.44,Miami,Google Sheets,In-Home Service,Homeowner
21,2023-01-30,4538,205.7,127.13,Bay Area,RDS,Management Fee,Homeowner
22,2023-07-07,1433,253.04,163.53,Bay Area,Google Sheets,Management Fee,Other
23,2023-12-30,3926,386.85,158.19,New York,BigQuery,Other,Resident
24,2024-03-26,2089,456.0,340.34,Dallas,RDS,Other,Resident
25,2023-07-14,3957,72.4,45.89,Dallas,BigQuery,Management Fee,Other
26,2023-06-05,3612,285.85,209.3,Dallas,BigQuery,Management Fee,Resident
27,2023-06-21,2951,64.78,50.41,New York,RDS,In-Home Service,Other
28,2023-02-10,3153,260.78,94.62,Seattle,RDS,In-Home Service,Other
29,2023-03-04,1095,448.38,156.17,Bay Area,BigQuery,Other,Homeowner
30,2023-01-23,4759,212.72,,Los Angeles,BigQuery,In-Home Service,Other
31,2023-12-26,4622,469.6,344.25,Miami,Google Sheets,Other,Resident
